tweet_id,tweet_text
836497691408396288,RT @LJPaulino_: VICERYLLE ANOOOOOOOO😍💛 https://t.co/GpL4Zwe1JT
836497695594328065,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836497938876489728,RT @Ms_BeanStalk: Nagtanan po sila. Pero mauudlot! hahaha! #PKLSLGalitNiAngeli @MyJaps @benxalves https://t.co/4OJEh3C9im
836497955649548288,"RT @krispufff: Meng, sayaw ka ng ganito sa Sat. May alam ka eh. Ilabas mo 'yang nalalaman mo sa pagsasayaw! 😭 @mainedcm… "
836497527817945088,@Valma_Bunce Bhahaha. Er um. Im speechless. 😂😂😂
836497540392566785,"Ticket lady: ano po papanoorin? Crush: nood tayo ""I'm Drunk, I love you"" Me: Ako kahit hindi drunk, I love you. Crush: Me: TL: Mga nakapila:"
836497573942681601,RT @JANEsterszILO: Pinakita po yung isang isang scene ni @itsJaneOineza sa Goin' Bulilit Anniv. Ep kagabi. 😅😅😅 #bloopers #throwback https:/…
836497607522316288,"RT @YnaPanina: me 2 crush: ano nga yung bagong movie? ""i'm drunk...""  crush: i love you  me: i love you too  crush:  me: universe: yung dig…"
836497611724972033,"RT @pastelvibrant: Matalik na talaga ang pagkakaibigan nina Maymay, McCoy, at Nikko...  HINDI AKO MAGTATAKA KUNG MAGIGING HASHTAGS 'YAN SI…"
836497615885758465,mga competitive 🙂😘
836497624295329793,RT @LJPaulino_: Yung yakap ng Vicerylle💛 https://t.co/IZWYribSul
836497628502241280,@antonyostark @mainedcm iwanan na lang at least buo p rin 😂 #ALDUBxDTBYTadhana  #DTBYArchitectBenjie
836497854986391552,RT @TheGimster2: Karma po tawag dyan :)
836497976600088576,RT @ElisseJoson: Hello po!!! Namiss ko kayo!
836497980815441920,"Okay, sinipag pumunta ng Udays. 😑"
836498115007959041,heheee 😍 https://t.co/8PHGqgxVcV
836498211510484992,Joyride dun sa lugar na tahimik at walang tao 😁😍
836498077271773186,RT @wcpetjr: Soon na talaga https://t.co/1MJOhVSTtS
836491131508649984,Wag ganon :'( https://t.co/ZtHpo86EEX
836491177629081600,@Francineszx hehehehehe
836491186030403584,@BTS_twt ONIEXDDDD
836491206997598209,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836491227964977152,"RT @loi_iam: Buntis si Grace???!!!!  Oh, No! Abangan bukas! #LBTraumaNiGrace   Janine Gutierrez"
836491253122392064,"@akosieyjeyzee08 syempre hahaha, sila pa ba, basta tau panalo, 👌👌👌👍👍 #DTBYArchitectBenjie"
836491261511098368,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836491269937340416,Naa jud ko sa mood matulog ron 😊
836498219878141952,RT @paperroses13: Hello babies! 😍 Ang tamis nyo..  #ALDUBxDTBYTadhana  #DTBYArchitechBenjie https://t.co/RfE3BTZI98
836498228266688512,"RT @atty_kate: O asan na yung BOYCOTT na pinagyayabang nyo ha?? May pa HT pa, mali naman 🤣🤣 #DTBYArchitectBenjie"
836498278594248708,Ibibio Sound Machine: Uyai (Review) https://t.co/ES4ulu0yxE
836498316355493888,Start na ba ako? Hahaha
836498450577383425,RT @iluvmariethez: Mukhang masaya naman sila... hahahaha  BB MAYMAY to 2366 BB EDWARD to 2366 https://t.co/GatG5ACppd
836498475734859778,gusto ko talaga f.r.i.e.n.d.s. question thread hahaja pls participate choz  AlwaysJaDine USATour2017 #KCAPinoyStar #NadineLustre
836498509297655808,"RT @KissesRoyalty: Parang kelan lang 'to guys, Kung kinaya natin noon, KAKAYANIN DIN NATIN NGAYON! Goodluck to us Team Kisses! Kisses'… "
836498513483616256,@moygoodboy tumataba ka ah
836498563815256064,The world's getting hot na. Ako na lang yung hindi pa
836498568018034688,RT @ItsFoodPorn: Sushi https://t.co/3Er9lyEET3
836498576414928897,@Darramay1 opo sa teaser po pinakita. Hehe 😊
836498580575682560,RT @leneeeeerrrrr: @pearllamas5 true ate. In and out. Di yung sa labas lang maganda. Bulok naman yung loob. Gaya nung. Ay nevermind. 😂🙊
836498601547280384,"RT @cleobarr_: family parties,, aye that's my maw AHAHAHA https://t.co/Osy8TkQLAi"
836498635118497792,@SLEEPY_SHOUYOU I FEEL AHAHHA
836498647688699904,RT @zieye: Edward huyyyyy awat na hahahaha. Nagdabog ka eh spoon lang naman yata binigay ni Mm kay McCoy ah. Pumagitna ka pa talaga? Napagh…
836498937120960512,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836498945475923968,Di ko daw kaya magselfie ng walang make up hahahahaa talaga ba? Ee kailan ba ko nagselfie ng naka make up? Patawa ka 😂😂😂👏👏
836498945509625856,Tanga nung nagupit saakin
836499079718805504,Di ako makatulog sula kanina sobrang sakit na ng ulo ko 😩
836499121636696064,RT @FloYea: Nagtitipid ata si bb ng kuryente ngayon..isang cam lng yung gumagana hahaha
836499180386406401,RT @kpopasanime: hoseok // shu sakamaki https://t.co/aV0CUwbfeW
836499192952475649,RT @dianamarie0328: Kyot! 😂😂😂😂😉😍 #DTBYArchitectBenjie #ALDUBxDTBYTadhana https://t.co/olu9OccEGe
836499285214535681,RT @BenodBabi: @mainedcm pwesto ko yan eh. Sa harap ka girl. 😒 #DTBYArchitectBenjie  #ALDUBxDTBYTadhana https://t.co/CsliHoWRw1
836499297831022593,RT @ElisseJoson: Gusto ko lang po magpasalamat dahil minahal nyo po ako at sinuportahan hanggang dulo ng journey ko
836499406853570561,RT @sophia_swift23: Yung pareho sila nagsmile after nila i-prank yung isa't isa 🙈😍😭😍❤️  #LizaSoberano #KCAPinoyStar… 
836499482359390208,dami namang events bukas
836499553654169600,RT @sky_gracie: cool ni kuya fanboy 😎😂 @mainedcm https://t.co/lLg2pxKSoz
836499587208634370,"RT @ofcdjbae: Anong FONT yung ""meant"" & ""way""?  #ALDUBxDTBYTadhana https://t.co/2EW2s27xXr"
836499595601436672,"RT @QueenANNENANA: Hahahahaha EDWARD! "" I kennaaaaat! Ikaw na talaga! ""  BB MAYMAY to 2366 BB EDWARD to 2366 https://t.co/zfgcLIHKXM"
836499817928896513,@ElisseJoson susuportahan ka nmin kahit anong mangyari mam   #TWBAElisse
836499826288250880,"At dahil na-postponed ulit ang NCAE, ayan trending tuloy yung DepEd sa Twitter. 😂😂😂"
836499826304962560,RT @ColaBoink: Yung akala ko pre-nup photoshoot ang gagawin... *the dress tho...* 🤔 Di nyo naman sinabing pregnancy shoot pala. 😜🙊… 
836499834668367872,@yasantiago_ reporting karon or nah
836499834685157376,@bfyolista1 para daw yan sa mga haters sabi ni CL sa akin bes bff kasi kami..hahahaha Janella ForKCA #KCAPinoyStar #JanellaSalvador
836499843069575171,RT @TitaDos525: Kasal na sila Gab & Dos. So don tayo sa kasalang Bernardo-Ford 😍💙 https://t.co/2oWzajDTXe
836499868227096576,RT @elissethequeen: @ElisseJoson were so happy kasi mahal nyo na ang isat-isa. #TWBAElisse
836499893392814080,Nakakamiss naman po yung pa-vid dati ng @MyCHOSdotcom sa photoshoot ng movie ng kn ehem ☺ HAHAHAHAH
836499905988313088,@mintaesthetic gurang ko sh3t hehehe kaloka kala ko nga magka-age tayo ameyzing
836499910186848257,@SuicidalM10 ambakla hahahahaha may pasok bukas.
836499935352741889,Download📲#MUSIC 👉Angeli by Real Love🎤@WaleyRealLove (Pro. By🎹AyomideEgba)🎧#AngeliByRealLove👇 https://t.co/8GLrrtx8Ar https://t.co/YlMdmpwcaW
836500019226132480,@iamjansen__ che hahahaha ansaya mo 😂
836500040206053376,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836500061177556993,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836500098922119168,RT @MARVOREE_GREECE: Ayiiieee kinilig sila. Real na real   MARVOREE ChaTUEnayNaKilig https://t.co/8ToWogh8dC
836498396051468288,oyyy tuloy nyo ncae ayokong mag report sa ap!!! 😫
836498530244034560,Dodooonggg Umaasa akong magkakalinawan na hahaha https://t.co/3MiL1ViguN
836498538649432064,@abhieness @kit_maalden @titatsbermejo11  #DTBYArchitectBenjie bes uwag mo ng pigilan 😂😂😂😂😂😂😂😂😂😂😂
836498656089890816,"RT @adikthing: Kahit kailan, di kita iiwan Kahit kailan, di kita pababayaan~  Very Ybrahim ang kantang to, tapos ""para sa inyong l… "
836498685450137604,RT @tinluvsmaichard: OMG this is the first thing I saw when I opened Twitter. Muntik na ako magwala dito sa trabaho. LAPASTANGAN KAYO!!… 
836498693834473472,Mapanlait na grade 7😏
836498714805985280,RT @MayWardJapan: Oo nga kailang magkasama na yung dalawa wala na ngang audio.... (ToT) https://t.co/avoWR9gi3B
836498739967582208,RT @gmanetwork: Hindi pinalampas ng Dabarkads ang pagkakataon na suportahan sina Alden at Maine sa pilot ep ng Destined To Be Yours! https:…
836498769315151872,@cosmo_ph Oh my gulay! My SamKi heart.
836498819671977985,RT @ChildstarAwra: Nakakaantok. Nakakagutom. Nakakatamad.
836498962269888513,Sisimulan ko ng gumawa ng reviewer bukas✋
836499205552144384,RT @swishywuxhi: HAHAHAHA #PKLSLGalitNiAngeli https://t.co/cMaZh53SKZ
836499218139398144,"RT @swahilitimes: Mkuu wa Jeshi la Ulinzi Tanzania (CDF), Jenerali Venance Salvatory Mabeyo akila Kiapo cha Uadilifu kwa Viongozi wa… "
836499243279908864,RT @_MervzZZ_: Congrats ADN mataas po yung 22.5% rating for a pilot episode sa timeslot na yun! 🙌  #ALDUBxDTBYTadhana… 
836499260061306881,RT @GMADestinedToBe: That smile tho. Bakit kaya parang ang saya-saya ni Architect Benjie? ;)  #DTBYArchitectBenjie #ALDUBxDTBYTadhana… 
836499260073902080,@PBBabscbn kisses walang iba
836499260065497089,RT @mclisse_krishna: Hahaha kawawa katabi natin   #TWBAElisse https://t.co/zVk2BBYuO8
836499302025408512,@rrajpoot2 @shynaik kya howa
836499306190356480,"#RanveerIshaniJKT Radhika Madan February 28, 2017 at 03:51PM"
836499335567273984,RT @KuriaMapesa: Ukikumbuka ulikuwa Vice-President but hukuwai shika nusu ya zile pesa Ruto anapeananga kila Sunday... https://t.co/ZqVMZmk…
836499411056238593,RT @aomtf: Now Available HAHAHAHA #PRHwang https://t.co/sgpbW7dB1z
836499427825082368,RT @ElisseJoson: Hello po!!! Namiss ko kayo!
836499536893771778,"RT @Ninzwood: Panghahawakan ko ito Dodong. ahahahaha  WARNING : Pasintabi sa mga kumakain, may hindi kaaya ayang imahe ang bidyow… "
836499624982536194,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836499629164412929,RT @ElisseJoson: Tuloy ang laban sa outside world ☺️🙏🏼
836499633371144192,Marami pa po akong gustong gawin sa buhay.  HAHA
836499675309998080,RT @David_Dobr1c: Go push! Gapang lang haha love it! #fantasy https://t.co/UvWTrm1Oo2
836499713058721792,"RT @GMADestinedToBe: Sa lahat ng nanood at naki-Twitter party sa amin, thank you! Maraming salamat, mga Kapuso at #AlDub Nation!… "
836499721455730688,RT @ElisseJoson: Alam ko po na di kayo sumuko at di nyo po ako pinabayaan hehe 😉 everything happens for a reason. I'm happy dahil ramdam ko…
836499725641637889,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836499742393778176,RT @radiobiafralive: BIAFRA: IPOB releases new constituted organogram https://t.co/e4AyDROFYB https://t.co/g42hiQb2Ec
836499755010297856,@np_hajimerikka TANGINA BES LUMAYO TALAGA MUKHA KO DUN SA SCREEN NG WORKING PC KO TANGINA
836499775977476096,May sinat ako 😥😥😥😢😢😢
836499784336736256,Kaloka yung The Greatest Love. Inaano ba kayo???
836499931154153472,RT @boyband_joao: Fave Street Food: Kwek Kwek And Kikiam 😄
836471007246442496,"Dr Bonnefoy Kara, Chilliwack, BC, V2P 4N9 - https://t.co/K3CBApMolY  #drbonnefoykara #chiropractor #reviews"
